Book:;;;;
Tyt;Autor;Rok;;
1LOTR;1Tolkien;1990;;
2LOTR;2Tolkien;1990;;
1LOTR;1Tolkien;1990;;
2LOTR;2Tolkien;1990;;
1LOTR;1Tolkien;1990;;
Potop;Sienkiewicz;1900;;
;;;;
User:;;;;
Id;Name;Surname;email;password
12345;Tomasz;Lewandowski;lewy@gmail.com;javiarenka123
42069;Szymon;Ilnicki;igieu@gmail.com;ngssie666
68098;Tomasz;Nazwisko;placeholder@gmail.com;xxx
99999;Szymon;Testowski;test@gmail.com;123test
;;;;
xBook:;;;;
xTyt;xAutor;xRok;;
xxxLOTR;xxxTolkien;xxx1990;;
xxxLOTR;xxxTolkien;xxx1990;;
xxxLOTR;xxxTolkien;xxx1990;;
;;;;
